Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
23.88              -0.0002         -0.0124
23.91              -0.0016         -0.0911
23.94              -0.0030         -0.1698
23.97              -0.0043         -0.2484
24.00              -0.0057         -0.3270
24.03              -0.0071         -0.4055
24.06              -0.0084         -0.4840
24.09              -0.0098         -0.5624
24.12              -0.0112         -0.6407
24.15              -0.0125         -0.7189
24.18              -0.0139         -0.7970
24.21              -0.0153         -0.8750
24.24              -0.0166         -0.9529
24.27              -0.0180         -1.0307
24.30              -0.0193         -1.1084
24.33              -0.0207         -1.1859
24.36              -0.0220         -1.2633
24.39              -0.0234         -1.3406
24.42              -0.0247         -1.4177
24.45              -0.0261         -1.4946
24.48              -0.0274         -1.5714
24.51              -0.0288         -1.6480
24.54              -0.0301         -1.7244
24.57              -0.0314         -1.8006
24.60              -0.0328         -1.8766
24.63              -0.0341         -1.9524
24.66              -0.0354         -2.0280
24.69              -0.0367         -2.1034
24.72              -0.0380         -2.1786
24.75              -0.0393         -2.2535
24.78              -0.0406         -2.3282
24.81              -0.0419         -2.4026
24.84              -0.0432         -2.4768
24.87              -0.0445         -2.5508
24.90              -0.0458         -2.6244
24.93              -0.0471         -2.6978
24.96              -0.0484         -2.7709
24.99              -0.0496         -2.8438
25.02              -0.0509         -2.9163
25.05              -0.0522         -2.9885
25.08              -0.0534         -3.0604
25.11              -0.0547         -3.1320
25.14              -0.0559         -3.2033
25.17              -0.0571         -3.2743
25.20              -0.0584         -3.3449
25.23              -0.0596         -3.4152
25.26              -0.0608         -3.4851
25.29              -0.0620         -3.5547
25.32              -0.0632         -3.6239
25.35              -0.0645         -3.6928
25.38              -0.0656         -3.7613
25.41              -0.0668         -3.8294
25.44              -0.0680         -3.8971
25.47              -0.0692         -3.9644
25.50              -0.0704         -4.0313
25.53              -0.0715         -4.0978
25.56              -0.0727         -4.1639
25.59              -0.0738         -4.2296
25.62              -0.0750         -4.2949
25.65              -0.0761         -4.3597
25.68              -0.0772         -4.4241
25.71              -0.0783         -4.4880
25.74              -0.0794         -4.5515
25.77              -0.0805         -4.6146
25.80              -0.0816         -4.6771
25.83              -0.0827         -4.7393
25.86              -0.0838         -4.8009
25.89              -0.0849         -4.8621
25.92              -0.0859         -4.9227
25.95              -0.0870         -4.9829
25.98              -0.0880         -5.0426
26.01              -0.0890         -5.1018
26.04              -0.0901         -5.1605
26.07              -0.0911         -5.2187
26.10              -0.0921         -5.2763
26.13              -0.0931         -5.3335
26.16              -0.0941         -5.3901
26.19              -0.0951         -5.4461
26.22              -0.0960         -5.5016
26.25              -0.0970         -5.5566
26.28              -0.0979         -5.6110
26.31              -0.0989         -5.6649
26.34              -0.0998         -5.7182
26.37              -0.1007         -5.7710
26.40              -0.1016         -5.8232
26.43              -0.1025         -5.8748
26.46              -0.1034         -5.9258
26.49              -0.1043         -5.9762
26.52              -0.1052         -6.0260
26.55              -0.1060         -6.0753
26.58              -0.1069         -6.1239
26.61              -0.1077         -6.1720
26.64              -0.1085         -6.2194
26.67              -0.1094         -6.2662
26.70              -0.1102         -6.3124
26.73              -0.1110         -6.3580
26.76              -0.1118         -6.4030
26.79              -0.1125         -6.4473
26.82              -0.1133         -6.4910
26.85              -0.1140         -6.5340
26.88              -0.1148         -6.5764
26.91              -0.1155         -6.6182
26.94              -0.1162         -6.6593
26.97              -0.1169         -6.6997
27.00              -0.1176         -6.7395
27.03              -0.1183         -6.7786
27.06              -0.1190         -6.8171
27.09              -0.1196         -6.8549
27.12              -0.1203         -6.8920
27.15              -0.1209         -6.9284
27.18              -0.1215         -6.9642
27.21              -0.1222         -6.9993
27.24              -0.1228         -7.0336
27.27              -0.1233         -7.0673
27.30              -0.1239         -7.1003
27.33              -0.1245         -7.1326
27.36              -0.1250         -7.1642
27.39              -0.1256         -7.1951
27.42              -0.1261         -7.2253
27.45              -0.1266         -7.2548
27.48              -0.1271         -7.2836
27.51              -0.1276         -7.3117
27.54              -0.1281         -7.3390
27.57              -0.1286         -7.3656
27.60              -0.1290         -7.3915
